Nombre de ville, temps d execution, Poids chemin, nombre d iterations5,2.672888994216919,47,1945
5,2.744690418243408,63,1945
5,2.7197279930114746,71,1945
5,2.768599271774292,38,1945
5,2.7721118927001953,41,1945
5,2.887279510498047,66,1945
5,2.795525312423706,57,1945
5,2.822500467300415,52,1945
5,2.676848888397217,49,1945
5,2.6190025806427,43,1945
10,5.692784309387207,85,1945
10,5.3955793380737305,95,1945
10,5.3057684898376465,103,1945
10,5.292857885360718,86,1945
10,5.538196563720703,90,1945
10,5.88425087928772,66,1945
10,5.433477163314819,85,1945
10,5.39059042930603,96,1945
10,5.369645833969116,90,1945
10,5.388598918914795,63,1945
50,51.254652976989746,316,1945
50,48.06552290916443,341,1945
50,46.81506323814392,322,1945
50,48.277477502822876,327,1945
50,48.523831844329834,330,1945
50,48.064045906066895,349,1945
50,49.54115438461304,303,1945
50,49.18252968788147,322,1945
50,47.77986168861389,329,1945
50,46.9939866065979,316,1945
100,152.91730189323425,650,1945
100,151.96640872955322,644,1945
100,170.69009280204773,666,1945
100,175.2666609287262,690,1945
100,165.70107460021973,657,1945
100,213.30859327316284,623,1945
100,212.82497906684875,677,1945
100,191.51113653182983,646,1945
100,148.7840507030487,686,1945
100,152.6970615386963,648,1945
500,3023.114832878113,3984,1945
